fluid,diameter,T_on,T_off,power_needed_kWh,average COP,num_cycles,heatup_time_min
Butane,40,87.0,90.00000000000004,16.041889794276823,2.449845706012798,60,33.31666666666667
Isobutane,35,87.0,90.00000000000004,16.76568795528868,2.346383599417476,60,33.0
Isobutene,40,87.0,89.80000000000004,19.45252257209441,2.007420957055779,60,33.833333333333336
Butane,45,87.0,90.00000000000004,19.94900862570616,1.9595254447405948,60,33.1
DimethylEther,35,87.0,90.20000000000005,20.63012693297856,1.896084890681905,60,31.85
Isobutane,40,87.0,89.80000000000004,21.50223571849202,1.8137456185723557,60,31.833333333333332
Isobutene,45,87.0,90.20000000000005,21.551331712520494,1.8186028021194685,60,30.466666666666665
DimethylEther,40,87.0,90.20000000000005,22.20943719837885,1.7619734197165395,60,33.75
Isobutene,50,87.0,89.80000000000004,22.61392854692096,1.721425481522073,60,32.666666666666664
Butane,50,87.0,90.00000000000004,22.675213170192695,1.7197015409306797,60,30.833333333333332
DimethylEther,45,87.0,90.20000000000005,23.5978616405084,1.6572375223441649,60,33.75
Isobutane,50,87.0,90.00000000000004,24.122174292932193,1.6135765501056785,60,27.6
DimethylEther,50,87.0,90.00000000000004,24.718526912799526,1.5794247611929193,60,36.11666666666667
